did,louvain_community
did:plc:wt7jgbvc7yxrtt2qzseeib7g,1
did:plc:43amxh4iysp57ic6tiinz3hr,1
did:plc:robiqurmy5checioews7d34r,1
did:plc:w7ygrepon2g2543iq2u2tiu7,1
did:plc:sluikqz6oyyzvfhzj2cydai2,1
did:plc:puovcnxin7vgn7opwwric6wp,1
did:plc:uk4nzrbsvnbnrq2c7e2ect3h,1
did:plc:j77pvrnubniqxzvqh5w4o7qm,1
did:plc:xf24nqkgsnyoewejhtcxjygb,1
did:plc:wuxsmfsc6ybqos7fjv5vxr6q,1
did:plc:vmadboxvq3e4b6otvqp4krux,1
did:plc:txpx4wskeysrqgymnajywpqo,1
did:plc:5bhpik5fxzasci72iamn7dtr,5
did:plc:wosbhm46lwpknxaojbeeotej,1
did:plc:sqfk2fsqe7fibkujfciqa5js,1
did:plc:ikgsn6y4btugxzcyqz4wsqwq,1
did:plc:myn6mbf5umvtysp2woeg5jsx,4
did:plc:fmyaqsv62vb7azxff34poeet,1
did:plc:x6336j47sfixchau7vydzcki,1
did:plc:ghqwkkucnw7mlaaiz7c4ndjc,1
did:plc:d6ofntpc3czcp5oi2g5o4tr3,1
did:plc:ezpnkoudamvtfsz2grpxlmk4,1
did:plc:frfifm7hstu7eck67vaq6a7n,1
did:plc:z4svxibroq76q2627wnmpl37,1
did:plc:sl56r4ugchrdtwvwpaxqm4vv,1
did:plc:slaatvdk46j6eo2g67ikmy3c,1
did:plc:kknshfcmrpqpirav7n6d3jwk,1
did:plc:ufufhaxc74cfl7fpjccykkyh,1
did:plc:lhzelkunadb3yazugact3p3h,1
did:plc:um7gwtwcreeeq55hydkhwnph,1
did:plc:otp7b7m5sua7eefk7qr25yvo,1
did:plc:72hsii3pxqh7cfdgddbqmm72,1
did:plc:qqwx6ubicnmvgzktioz6ztsh,1
did:plc:6kb5by75mh235emon3yz3iqv,1
did:plc:ykgmvb4khqwq4nozvgeanzlx,1
did:plc:wocf4buzey535czmnqtpvyj4,1
did:plc:yhmdxr5lxtv6uytfldz2fyea,1
did:plc:cjkmuf2v6sbxzrxshw7vr5ee,4
did:plc:xdri64k3cunoa5ogw3tg6gqa,1
did:plc:tzjjjjo7gh7znhf45idwtl5a,1
did:plc:ugdjpmvji5dd5d34j4fhh5q3,1
did:plc:q55zr7f4tt7ohqekbrbz5wnf,1
did:plc:5pcjkyozbqh5jzhdr2recgv4,0
did:plc:6va6ratbqxbms6aedoaxv3cj,1
did:plc:urcgyckcmwat5ypg3nxur2k7,1
did:plc:637u2iyu2w2mjdngn423fqkk,1
did:plc:3c536wxoxmtj65wmhdtiqjb5,1
did:plc:4xxmtpfsoiny7okbw6ld4eko,1
did:plc:v32vqxvk4ucbtk4wh7n7zjtj,1
did:plc:rvzks4bkyls2n623lvicel4n,1
did:plc:joxwahvtso4tm2fxe2ftrepc,4
did:plc:ltkqxu3ft3dxorzvxnpqv5ku,1
did:plc:hyyfziyejp5rlp7wdfdnfaxe,1
did:plc:jv3fzuihsd6t5p7ppy5go4hj,1
did:plc:p32anyu2ukmszgy3ixvkkkj5,1
did:plc:dvybczgky4forrhxb6zxkhgx,4
did:plc:fzcg6h4qou63cvpcpigvbcx6,1
did:plc:nvacsqfikrbd44u2pyhbwxyf,4
did:plc:6b5yv7g4cfmnxrvp7tzrvozh,1
did:plc:6to7pbpfn3pvg6waqvvbvt7w,1
did:plc:qqvxpthrrxx4zsguziupmsdo,1
did:plc:f7w4tqldonxy7x5jz3not7xi,1
did:plc:ydqv6f2bjilhzukxgrzj3auf,1
did:plc:pwrqw4ij2qgsrfa2gtyz2pbd,1
did:plc:jc2w7vkuqyjzkb7bxje543t2,1
did:plc:xlfri26moo5puybapowp6er5,1
did:plc:jx3a42zpawyjvcanzd2d6jac,1
did:plc:jnung5ti4u4xzkrkkzdo6u6r,1
did:plc:roxiwsrgm3tctaxjskfci2vh,1
did:plc:bcbgozdsbb3jthzrymnh2a4e,1
did:plc:7hotqxrbarmhllwezh5kxkjg,1
did:plc:clgthoaouiclezlxbk3yyhj7,1
did:plc:7mqbjrtzoewmlyvsopqewq7m,1
did:plc:fmpc3xpvih4qgs6wikvzond4,1
did:plc:dwnk3fae7f2brgkykkq235rg,1
did:plc:vj3ylsvba33xub26yu5t7q4p,4
did:plc:sf5yptrhmyx6dvle6ss52hn5,1
did:plc:rgwsbfvy2g7lbfvbyacobqst,4
did:plc:txtmdg5djrblvaubsa4nsahc,4
did:plc:hogz5yygw2s5lmt3fk2netxh,4
did:plc:f6fi6jj7acm5rkt4y7d5call,4
did:plc:rrje5tr6xwcjoncb26tof2tz,4
